dataset,k,dimension,trajectoryNumber,height,leafnode,radiusMean,radiusSD,fastest,,,,,,,,,,,,,,,slowest
covtype,10,2,5000,1.5714285,1.5,0.0256,0.0113,2,1,8,6,11,7,9,12,10,4,3,13,14,0,5,15
covtype,100,2,5000,1.5714285,1.5,0.0256,0.0113,9,8,6,7,10,3,13,12,11,14,5,0,2,1,4,15
covtype,1000,2,5000,1.5714285,1.5,0.0256,0.0113,6,7,9,14,8,10,13,2,4,15,0,12,5,11,3,1
covtype,10,2,10000,1.5,1.515,0.0175,0.0087,13,0,3,2,7,1,11,8,4,6,9,10,15,14,12,5
covtype,100,2,10000,1.5,1.515,0.0175,0.0087,6,14,7,10,9,8,13,3,12,0,11,2,15,4,1,5
covtype,1000,2,10000,1.5,1.515,0.0175,0.0087,14,7,6,10,9,8,13,2,12,0,15,4,11,1,5,3
covtype,10,2,50000,1.7,1.4856,0.0047,0.0062,13,15,14,7,10,11,9,8,2,3,1,12,4,0,6,5
covtype,100,2,50000,1.7,1.4856,0.0047,0.0062,14,13,7,10,9,8,6,15,12,2,3,0,11,4,1,5
covtype,1000,2,50000,1.7,1.4856,0.0047,0.0062,7,10,9,8,14,6,12,2,0,4,1,11,13,15,3,5
covtype,10,2,100000,1.6363636,1.2069,0.0024,0.0052,13,15,14,2,3,1,0,10,11,4,7,9,8,12,6,5
covtype,100,2,100000,1.6363636,1.2069,0.0024,0.0052,14,13,15,10,7,9,8,6,12,2,3,0,11,4,1,5
covtype,1000,2,100000,1.6363636,1.2069,0.0024,0.0052,14,7,10,9,8,6,12,0,2,13,15,4,1,11,3,5
covtype,10,2,500000,1.4285715,0.561,0.0008,0.0034,13,15,14,2,3,10,7,1,11,4,9,0,8,12,6,5
covtype,100,2,500000,1.4285715,0.561,0.0008,0.0034,14,13,15,7,10,9,8,6,12,2,3,0,4,11,1,5
covtype,1000,2,500000,1.4285715,0.561,0.0008,0.0034,14,13,15,7,10,9,8,6,12,0,2,4,11,1,3,5
