dataset,k,dimension,trajectoryNumber,heightnew,nodecounts,leafnodes,depthmean,depthsd,radiusmean,radiussd,pointsmean,pointssd,disfathermean,disfathersd,height,leafnode,radiusMean,radiusSD,fastest,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,slowest
covtype,1000,2,10000,1.5,4.422,1.476,1.1845,0.1496,0.017775948,0.008383943,0.6775,0.1881,0.0121,0.0075,1.5,1.515,0.0175,0.0087,14,7,6,10,9,8,13,2,12,0,15,4,11,1,5,3
covtype,10,2,50000,1.7,4.6704,1.47,1.2504,0.1653,0.004806981,0.006425168,0.6803,0.2956,0.005,0.0057,1.7,1.4856,0.0047,0.0062,13,15,14,7,10,11,9,8,2,3,1,12,4,0,6,5
covtype,100,2,50000,1.7,4.6704,1.47,1.2504,0.1653,0.004806981,0.006425168,0.6803,0.2956,0.005,0.0057,1.7,1.4856,0.0047,0.0062,14,13,7,10,9,8,6,15,12,2,3,0,11,4,1,5
covtype,1000,2,50000,1.7,4.6704,1.47,1.2504,0.1653,0.004806981,0.006425168,0.6803,0.2956,0.005,0.0057,1.7,1.4856,0.0047,0.0062,7,10,9,8,14,6,12,2,0,4,1,11,13,15,3,5
covtype,10,2,100000,1.6363636000000001,4.7025,1.2111,1.2302,0.1677,0.002390852,0.004637693,0.8257,0.5391,0.0036,0.0042,1.6363636000000001,1.2069,0.0024,0.0052,13,15,14,2,3,1,0,10,11,4,7,9,8,12,6,5
covtype,100,2,100000,1.6363636000000001,4.7025,1.2111,1.2302,0.1677,0.002390852,0.004637693,0.8257,0.5391,0.0036,0.0042,1.6363636000000001,1.2069,0.0024,0.0052,14,13,15,10,7,9,8,6,12,2,3,0,11,4,1,5
covtype,1000,2,100000,1.6363636000000001,4.7025,1.2111,1.2302,0.1677,0.002390852,0.004637693,0.8257,0.5391,0.0036,0.0042,1.6363636000000001,1.2069,0.0024,0.0052,14,7,10,9,8,6,12,0,2,13,15,4,1,11,3,5
covtype,10,2,500000,1.4285715,3.9892199999999995,0.5613,1.1571,0.1642,0.000826,0.0033044909999999997,1.7816,1.578,0.0017,0.0037,1.4285715,0.561,0.0008,0.0034,13,15,14,2,3,10,7,1,11,4,9,0,8,12,6,5
covtype,100,2,500000,1.4285715,3.9892199999999995,0.5613,1.1571,0.1642,0.000826,0.0033044909999999997,1.7816,1.578,0.0017,0.0037,1.4285715,0.561,0.0008,0.0034,14,13,15,7,10,9,8,6,12,2,3,0,4,11,1,5
covtype,1000,2,500000,1.4285715,3.9892199999999995,0.5613,1.1571,0.1642,0.000826,0.0033044909999999997,1.7816,1.578,0.0017,0.0037,1.4285715,0.561,0.0008,0.0034,14,13,15,7,10,9,8,6,12,0,2,4,11,1,3,5
covtype,10,10,1000,1.8,4.89,1.65,1.2145,0.1939,0.148006892,0.050451824000000006,0.6061,0.2235,0.0959,0.0481,1.8,1.65,0.1475,0.0552,3,14,2,0,7,6,1,10,11,8,4,9,12,13,5,15
covtype,100,10,1000,1.8,4.89,1.65,1.2145,0.1939,0.148006892,0.050451824000000006,0.6061,0.2235,0.0959,0.0481,1.8,1.65,0.1475,0.0552,14,9,7,6,8,3,10,2,13,0,4,15,1,11,12,5
covtype,1000,10,1000,1.8,4.89,1.65,1.2145,0.1939,0.148006892,0.050451824000000006,0.6061,0.2235,0.0959,0.0481,1.8,1.65,0.1475,0.0552,6,13,10,7,14,15,8,9,5,2,0,4,1,3,12,11
covtype,10,10,5000,2.0,4.524,1.5119999999999998,1.4144,0.3546,0.055699467,0.030725865,0.6614,0.2947,0.0306,0.0261,1.8571428,1.5719999999999998,0.0536,0.0297,3,14,2,0,1,7,8,11,10,6,4,9,13,12,15,5
covtype,100,10,5000,2.0,4.524,1.5119999999999998,1.4144,0.3546,0.055699467,0.030725865,0.6614,0.2947,0.0306,0.0261,1.8571428,1.5719999999999998,0.0536,0.0297,14,7,9,10,8,6,3,2,12,0,13,15,4,1,11,5
covtype,1000,10,5000,2.0,4.524,1.5119999999999998,1.4144,0.3546,0.055699467,0.030725865,0.6614,0.2947,0.0306,0.0261,1.8571428,1.5719999999999998,0.0536,0.0297,14,7,9,8,6,10,2,13,0,15,1,4,12,3,11,5
covtype,10,10,10000,2.125,4.575,1.527,1.3558,0.2892,0.047246018,0.023230565,0.6549,0.2304,0.0258,0.0212,1.875,1.518,0.048,0.0225,14,0,3,10,4,9,7,11,8,1,13,6,12,2,15,5
covtype,100,10,10000,2.125,4.575,1.527,1.3558,0.2892,0.047246018,0.023230565,0.6549,0.2304,0.0258,0.0212,1.875,1.518,0.048,0.0225,7,14,10,9,8,6,3,2,12,0,13,4,11,1,15,5
covtype,1000,10,10000,2.125,4.575,1.527,1.3558,0.2892,0.047246018,0.023230565,0.6549,0.2304,0.0258,0.0212,1.875,1.518,0.048,0.0225,14,7,9,8,10,6,13,2,12,0,15,4,1,11,3,5
covtype,10,10,50000,1.6,4.8174,1.6062,1.2344,0.1577,0.037528202000000004,0.017866574,0.6226,0.2329,0.0231,0.0161,1.7,1.614,0.0373,0.0185,13,14,15,2,3,11,10,7,9,8,1,0,12,4,6,5
covtype,100,10,50000,1.6,4.8174,1.6062,1.2344,0.1577,0.037528202000000004,0.017866574,0.6226,0.2329,0.0231,0.0161,1.7,1.614,0.0373,0.0185,7,14,10,9,8,6,12,3,2,13,0,4,11,1,15,5
